Date,Attention Score
2021-10-04 22:00:00,-0.0525641026
2021-10-05 22:00:00,0.1974358974
2021-10-06 22:00:00,0.3333666334
2021-10-07 22:00:00,0.3168831169
2021-10-08 22:00:00,0.3025974026
2021-10-09 22:00:00,0.4811688312
2021-10-10 22:00:00,0.3097402597
2021-10-11 22:00:00,0.4668831169
2021-10-12 22:00:00,0.1930735931
2021-10-13 22:00:00,0.0476190476
2021-10-14 22:00:00,0.1726190476
2021-10-15 22:00:00,0.2063852814
2021-10-16 22:00:00,0.0737322202
2021-10-17 22:00:00,0.1672387137
2021-10-18 22:00:00,0.1047387137
2021-10-19 22:00:00,0.0865314308
2021-10-20 22:00:00,0.1031980974
2021-10-21 22:00:00,0.1145617338
2021-10-22 22:00:00,0.1040097857
2021-10-23 22:00:00,-0.0728609626
2021-10-24 22:00:00,-0.1377960275
2021-10-25 22:00:00,-0.2419626942
2021-10-26 22:00:00,-0.1999458874
2021-10-27 22:00:00,-0.1880411255
2021-10-28 22:00:00,-0.2529761905
2021-10-29 22:00:00,-0.1904761905
2021-10-30 22:00:00,-0.0952380952
2021-10-30 23:00:00,-0.0952380952
2021-10-31 23:00:00,2.3333333333
2021-11-01 23:00:00,2.4365079365
2021-11-02 23:00:00,2.3989139515
2021-11-03 23:00:00,2.5825874209
2021-11-04 23:00:00,2.5290159924
2021-11-05 23:00:00,2.4218731352
2021-11-06 23:00:00,2.5647302781
2021-11-07 23:00:00,0.5790159924
2021-11-08 23:00:00,0.5083617144
2021-11-09 23:00:00,0.5148997987
2021-11-10 23:00:00,0.2597977579
2021-11-11 23:00:00,0.4086072817
2021-11-12 23:00:00,0.4490834722
2021-11-13 23:00:00,0.2526549008
2021-11-14 23:00:00,0.1240834722
2021-11-15 23:00:00,0.1243012422
2021-11-16 23:00:00,0.266468254
2021-11-17 23:00:00,0.4361111111
2021-11-18 23:00:00,0.2297619048
2021-11-19 23:00:00,0.2488095238
2021-11-20 23:00:00,0.3380952381
2021-11-21 23:00:00,0.3666666667
2021-11-22 23:00:00,0.3619397759
2021-11-23 23:00:00,0.2349556489
